epoch,train_loss,train_acc,val_acc,is_best
1,1.3932,26.34,36.24,1
2,0.9803,48.89,58.91,1
3,0.7420,66.14,77.61,1
4,0.5339,80.00,83.95,1
5,0.4258,84.94,85.61,1
