epoch,train_loss,train_acc,val_acc,is_best
1,0.6703,60.14,55.96,1
2,0.6418,62.64,62.27,1
3,0.6387,63.13,61.81,0
4,0.6384,63.18,57.91,0
5,0.6356,63.52,61.12,0
6,0.6360,63.41,64.22,1
